freq,eps.real,eps.imag,sig.real,sig.imag
5.245803357314149e10,-114644.51429123813,14085020.327209257,41104452.77560212,334571.127243273
5.275779376498801e10,-114644.42724336553,14004981.168933855,41104421.5658754,336482.7067718173
5.305755395683453e10,-114644.33969962694,13925846.347694797,41104390.17836331,338394.2819335026
5.335731414868105e10,-114644.2516600247,13847600.621856913,41104358.6130666,340305.8527035282
5.365707434052757e10,-114644.163124561,13770229.09038023,41104326.86998613,342217.41905709385
5.39568345323741e10,-114644.07409323826,13693717.183359014,41104294.949122734,344128.9809693997
5.425659472422062e10,-114643.98456605866,13618050.652874373,41104262.8504772,346040.5384156452
5.455635491606715e10,-114643.89454302467,13543215.564148517,41104230.5740504,347952.0913710313
5.4856115107913666e10,-114643.80402413856,13469198.286988955,41104198.119843155,349863.63981075806
5.515587529976019e10,-114643.71300940262,13395985.487511717,41104165.4878563,351775.1837100261
5.545563549160671e10,-114643.62149881927,13323564.120133048,41104132.6780907,353686.7230440363
5.575539568345324e10,-114643.52949239085,13251921.419819374,41104099.69054719,355598.25778798957
5.605515587529976e10,-114643.43699011985,13181044.89458597,41104066.52522664,357509.78791708755
5.6354916067146286e10,-114643.34399200855,13110922.31823502,41104033.1821299,359421.31340653123
5.6654676258992805e10,-114643.25049805938,13041541.723324217,41103999.661257826,361332.8342315223
5.695443645083933e10,-114643.15650827486,12972891.394357417,41103965.96261132,363244.35036726284
5.725419664268585e10,-114643.06202265732,12904959.861189175,41103932.08619122,365155.8617889546
5.755395683453238e10,-114642.9670412093,12837735.892635414,41103898.03199845,367067.3684718002
5.785371702637889e10,-114642.8715639332,12771208.490282713,41103863.800033845,368978.8703910015
5.815347721822542e10,-114642.77559083152,12705366.88248906,41103829.39029832,370890.3675217616
5.845323741007194e10,-114642.67912190674,12640200.518569205,41103794.802792765,372801.8598392832
5.8752997601918465e10,-114642.58215716139,12575699.063158011,41103760.037518084,374713.3473187695
5.9052757793764984e10,-114642.48469659795,12511852.390745463,41103725.09447515,376624.82993542345
5.93525179856115e10,-114642.38674021902,12448650.580377318,41103689.97366491,378536.3076644489
5.965227817745803e10,-114642.28828802705,12386083.910515485,41103654.67508824,380447.7804810493
5.995203836930455e10,-114642.18934002466,12324142.854052652,41103619.19874609,382359.2483604288
6.025179856115107e10,-114642.08989621438,12262818.07347567,41103583.544639364,384270.7112777912
6.05515587529976e10,-114641.98995659882,12202100.416172648,41103547.71276897,386182.169208341
6.085131894484412e10,-114641.8895211806,12141980.909878733,41103511.70313588,388093.6221272829
6.115107913669064e10,-114641.78858996223,12082450.758255823,41103475.51574098,390005.07000982144
6.145083932853716e10,-114641.68716294641,12023501.336601699,41103439.15058524,391916.51283116156
