temperature,direction,R,data_type,rho,sigma
31.421,-1,7026.41,raw,0.00035030842686549615,2854.627303567431
31.453,-1,7016.64,raw,0.00034982133412105395,2858.602099018795
31.476,-1,7008.71,raw,0.0003494259763458824,2861.836462353163
31.497,-1,7003.82,raw,0.0003491821806938535,2863.8345691435866
31.525,-1,6998.33,raw,0.00034890847146488855,2866.081169658938
31.567,-1,6985.51,raw,0.0003482693180376881,2871.3410806167676
31.603,-1,6976.36,raw,0.0003478131359894132,2875.1070518234774
31.627,-1,6967.81,raw,0.00034738686751807434,2878.635013305362
31.657,-1,6959.88,raw,0.0003469915097429028,2881.9148939434635
31.676,-1,6956.83,raw,0.0003468394490601444,2883.178377516662
31.714,-1,6942.18,raw,0.000346109059223289,2889.2627146025075
31.738,-1,6937.29,raw,0.0003458652635712601,2891.2993160238707
31.772,-1,6929.36,raw,0.0003454699057960885,2894.6081358248434
31.794,-1,6922.04,raw,0.0003451049601574686,2897.669159967182
31.815,-1,6917.15,raw,0.00034486116450543967,2899.717634005224
31.835,-1,6912.88,raw,0.0003446482795495781,2901.5087535237462
31.881,-1,6898.23,raw,0.0003439178897127226,2907.670783963312
31.911,-1,6890.3,raw,0.00034352253193755105,2911.0172027428757
31.933,-1,6884.19,raw,0.0003432179120124188,2913.60084949126
31.973,-1,6875.04,raw,0.00034276172996414395,2917.4785647878753
31.996,-1,6866.49,raw,0.0003423354614928051,2921.111343941262
32.034,-1,6856.73,raw,0.0003418488673079785,2925.269309431644
32.073,-1,6846.96,raw,0.00034136177456353634,2929.443407301815
32.095,-1,6839.64,raw,0.00034099682892491643,2932.5785906947203
32.128,-1,6831.09,raw,0.0003405705604535776,2936.2490952482303
32.15,-1,6826.21,raw,0.0003403272633611643,2938.3481949807046
32.195,-1,6812.17,raw,0.00033962728566086053,2944.4041813488557
32.224,-1,6805.46,raw,0.0003392927521587922,2947.307284453841
32.251,-1,6795.69,raw,0.00033880565941435,2951.5445572207145
32.281,-1,6788.37,raw,0.00033844071377573016,2954.7272514696806
32.301,-1,6782.88,raw,0.0003381670045467652,2957.118780231883
32.334,-1,6774.94,raw,0.00033777114821197796,2960.584423191827
32.355,-1,6770.06,raw,0.00033752785111956476,2962.718473995686
32.384,-1,6759.68,raw,0.0003370103462385709,2967.2679523378674
32.405,-1,6754.8,raw,0.0003367670491461576,2969.411652759406
32.428,-1,6749.31,raw,0.0003364933399171927,2971.827021141307
32.449,-1,6744.42,raw,0.0003362495442651638,2973.9817259392557
32.478,-1,6738.93,raw,0.00033597583503619885,2976.4045378211727
32.498,-1,6732.83,raw,0.00033567171367068224,2979.1011850973864
