# Flat substrate index of 4.8 without absorption.
# Homogeneous conductivity across sample.
cond,freq,param,value
1000.0,2.16,s11.real,-0.663
1000.0,2.18,s11.real,-0.6386
1000.0,2.2,s11.real,-0.6116
1000.0,2.22,s11.real,-0.5822
1000.0,2.24,s11.real,-0.5504
1000.0,2.26,s11.real,-0.5163
1000.0,2.28,s11.real,-0.4803
1000.0,2.3,s11.real,-0.4423
1000.0,2.32,s11.real,-0.4027
1000.0,2.34,s11.real,-0.3616
1000.0,2.36,s11.real,-0.3193
1000.0,2.38,s11.real,-0.2762
1000.0,2.4,s11.real,-0.2324
1000.0,2.42,s11.real,-0.188
1000.0,2.44,s11.real,-0.1431
1000.0,2.46,s11.real,-0.0978
1000.0,2.48,s11.real,-0.052
1000.0,2.5,s11.real,-0.0059
1000.0,2.52,s11.real,0.0406
1000.0,2.54,s11.real,0.0874
1000.0,2.56,s11.real,0.1341
1000.0,2.58,s11.real,0.1806
1000.0,2.6,s11.real,0.2266
1000.0,2.62,s11.real,0.272
1000.0,2.64,s11.real,0.3163
1000.0,2.66,s11.real,0.3594
1000.0,2.68,s11.real,0.401
1000.0,2.7,s11.real,0.4408
1000.0,2.72,s11.real,0.4787
1000.0,2.74,s11.real,0.5145
1000.0,2.76,s11.real,0.548
1000.0,2.78,s11.real,0.5788
1000.0,2.8,s11.real,0.6071
1000.0,2.82,s11.real,0.6328
1000.0,2.84,s11.real,0.6557
1000.0,2.86,s11.real,0.6757
1000.0,2.88,s11.real,0.6928
1000.0,2.9,s11.real,0.707
1000.0,2.92,s11.real,0.7183
1000.0,2.94,s11.real,0.7267
1000.0,2.96,s11.real,0.7321
1000.0,2.98,s11.real,0.7346
1000.0,3.0,s11.real,0.7342
2000.0,0.5,s11.real,-0.0296
2000.0,0.52,s11.real,0.0103
2000.0,0.54,s11.real,0.05
2000.0,0.56,s11.real,0.0896
2000.0,0.58,s11.real,0.1289
2000.0,0.6,s11.real,0.1676
2000.0,0.62,s11.real,0.2058
2000.0,0.64,s11.real,0.2432
2000.0,0.66,s11.real,0.2798
2000.0,0.68,s11.real,0.3215
2000.0,0.7,s11.real,0.3502
2000.0,0.72,s11.real,0.3836
2000.0,0.74,s11.real,0.4158
2000.0,0.76,s11.real,0.4466
2000.0,0.78,s11.real,0.4762
2000.0,0.8,s11.real,0.5044
2000.0,0.82,s11.real,0.5314
2000.0,0.84,s11.real,0.5571
2000.0,0.86,s11.real,0.5821
2000.0,0.88,s11.real,0.6062
2000.0,0.9,s11.real,0.6304
2000.0,0.92,s11.real,0.6556
2000.0,0.94,s11.real,0.6836
2000.0,0.96,s11.real,0.7168
2000.0,0.98,s11.real,0.7581
2000.0,1.0,s11.real,0.8054
2000.0,1.02,s11.real,0.837
2000.0,1.04,s11.real,0.8184
2000.0,1.06,s11.real,0.7532
2000.0,1.08,s11.real,0.6982
2000.0,1.1,s11.real,0.6572
2000.0,1.12,s11.real,0.6279
2000.0,1.14,s11.real,0.6046
2000.0,1.16,s11.real,0.5836
2000.0,1.18,s11.real,0.5631
2000.0,1.2,s11.real,0.542
2000.0,1.22,s11.real,0.5199
2000.0,1.24,s11.real,0.4965
2000.0,1.26,s11.real,0.4715
2000.0,1.28,s11.real,0.4451
2000.0,1.3,s11.real,0.417
2000.0,1.32,s11.real,0.3875
2000.0,1.34,s11.real,0.3564
2000.0,1.36,s11.real,0.3238
2000.0,1.38,s11.real,0.2898
2000.0,1.4,s11.real,0.2543
2000.0,1.42,s11.real,0.2175
2000.0,1.44,s11.real,0.1795
2000.0,1.46,s11.real,0.1403
2000.0,1.48,s11.real,0.1
2000.0,1.5,s11.real,0.0588
2000.0,1.52,s11.real,0.017
2000.0,1.54,s11.real,-0.0255
2000.0,1.56,s11.real,-0.0683
2000.0,1.58,s11.real,-0.1114
2000.0,1.6,s11.real,-0.1546
2000.0,1.62,s11.real,-0.1976
2000.0,1.64,s11.real,-0.2405
2000.0,1.66,s11.real,-0.2831
